Proteome_ID	tree_tip_label	Tax_ID	species	Proteome Size	busco_score	busco_dataset	pfam_domains_present	KEGG_pathways_present	Reactome_pathways_present	habitat	cellularity	superkingdom	kingdom	phylum	subphylum	class	subclass	superorder	order	suborder	superfamily	family	subfamily	genus	model_organism
UP000001882	METPS	304371	Methanocella paludicola	2993	99.5	archaea_odb12	1411	27.684465847353337	67.42846909560923	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanomicrobia	NA	NA	Methanocellales	NA	NA	Methanocellaceae	NA	Methanocella	n
UP000000390	HALJB	795797	Halalkalicoccus jeotgali	3779	99	archaea_odb12	1567	39.84333676344058	75.68802450807334	NA	NA	Archaea	NA	Euryarchaeota	NA	Halobacteria	NA	NA	Halobacteriales	NA	NA	Halobacteriaceae	NA	Halalkalicoccus	n
UP000010846	HALRX	797302	Halovivax ruber	3099	100	archaea_odb12	1443	34.72572373396023	73.2090234218312	NA	NA	Archaea	NA	Euryarchaeota	NA	Halobacteria	NA	NA	Natrialbales	NA	NA	Natrialbaceae	NA	Halovivax	n
UP000001975	HALWD	362976	Haloquadratum walsbyi	2558	98.5	archaea_odb12	1381	30.832506889649125	55.801182570193895	NA	NA	Archaea	NA	Euryarchaeota	NA	Halobacteria	NA	NA	Haloferacales	NA	NA	Haloferacaceae	NA	Haloquadratum	n
UP000001169	HALMA	272569	Haloarcula marismortui	4234	97.9	archaea_odb12	1602	38.58617997310371	77.19417918013234	NA	NA	Archaea	NA	Euryarchaeota	NA	Halobacteria	NA	NA	Halobacteriales	NA	NA	Haloarculaceae	NA	Haloarcula	n
UP000039324	PLABS	37360	Plasmodiophora brassicae	9720	95.3	eukaryota_odb12	3263	0	284.91123563653275	Host-associated	Unicellular	Eukaryota	NA	Endomyxa	NA	Phytomyxea	NA	NA	Plasmodiophorida	NA	NA	Plasmodiophoridae	NA	Plasmodiophora	n
UP000030745	SAPPC	695850	Saprolegnia parasitica	20052	88.4	eukaryota_odb12	3667	0	305.94914639039075	Aquatic	Multicellular	Eukaryota	NA	Oomycota	NA	NA	NA	NA	Saprolegniales	NA	NA	Saprolegniaceae	NA	Saprolegnia	n
UP000052943	PHYNI	4790	Phytophthora nicotianae	15887	93	eukaryota_odb12	3490	0	273.7242352285632	Host-associated	Multicellular	Eukaryota	NA	Oomycota	NA	NA	NA	NA	Peronosporales	NA	NA	Peronosporaceae	NA	Phytophthora	n
UP000013827	EMIHU	2903	Emiliania huxleyi	35676	63.8	eukaryota_odb12	3619	69.36812719329315	291.1475048864415	Aquatic	Multicellular	Eukaryota	NA	Haptista	NA	Haptophyta	NA	NA	Isochrysidales	NA	NA	Noelaerhabdaceae	NA	Emiliania	n
UP000002630	ECTSI	2880	Ectocarpus siliculosus	16334	84.5	eukaryota_odb12	3667	0	295.8335064272929	Host-associated	Multicellular	Eukaryota	NA	NA	NA	Phaeophyceae	NA	NA	Ectocarpales	NA	NA	Ectocarpaceae	NA	Ectocarpus	n
UP000001449	THAPS	35128	Thalassiosira pseudonana	11717	76	eukaryota_odb12	3105	60.802854374564355	249.1470067987391	Aquatic	Unicellular	Eukaryota	NA	Bacillariophyta	NA	Coscinodiscophyceae	Thalassiosirophycidae	NA	Thalassiosirales	NA	NA	Thalassiosiraceae	NA	Thalassiosira	n
UP000000759	PHATC	556484	Phaeodactylum tricornutum	10451	81.4	eukaryota_odb12	3106	61.23454670506434	252.446074157212	Aquatic	Unicellular	Eukaryota	NA	Bacillariophyta	NA	Bacillariophyceae	NA	NA	Naviculales	NA	NA	Phaeodactylaceae	NA	Phaeodactylum	n
UP000000600	PARTE	5888	Paramecium tetraurelia	39461	77.5	eukaryota_odb12	2526	44.59726845805821	222.00722692258887	Aquatic	Multicellular	Eukaryota	NA	Ciliophora	Intramacronucleata	Oligohymenophorea	NA	NA	Peniculida	NA	NA	Parameciidae	NA	Paramecium	n
UP000009168	TETTS	312017	Tetrahymena thermophila	26971	86.8	eukaryota_odb12	2693	47.629009071613694	229.1872747414085	Aquatic	Multicellular	Eukaryota	NA	Ciliophora	Intramacronucleata	Oligohymenophorea	NA	NA	Hymenostomatida	Tetrahymenina	NA	Tetrahymenidae	NA	Tetrahymena	n
UP000008983	ICHMG	857967	Ichthyophthirius multifiliis	8049	49.2	eukaryota_odb12	1913	0	193.9435571127465	Host-associated	Unicellular	Eukaryota	NA	Ciliophora	Intramacronucleata	Oligohymenophorea	NA	NA	Hymenostomatida	Ophryoglenina	NA	NA	NA	Ichthyophthirius	n
UP000041254	VITBC	1169540	Vitrella brassicaformis	23030	86	eukaryota_odb12	3551	0	245.60108741039858	Aquatic	Unicellular	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA	NA	Vitrellaceae	NA	Vitrella	n
UP000002226	TOXGV	432359	Toxoplasma gondii	8404	70.5	eukaryota_odb12	2384	43.920194097392525	195.72829119178982	Host-associated	Unicellular	Eukaryota	NA	Apicomplexa	NA	Conoidasida	Coccidia	NA	Eucoccidiorida	Eimeriorina	NA	Sarcocystidae	NA	Toxoplasma	n
UP000019763	GRENI	110365	Gregarina niphandrodes	6341	46.7	eukaryota_odb12	1582	0	162.89345999997184	Host-associated	Multicellular	Eukaryota	NA	Apicomplexa	NA	Conoidasida	Gregarinasina	NA	Eugregarinorida	NA	NA	Gregarinidae	NA	Gregarina	n
UP000006726	CRYPI	353152	Cryptosporidium parvum	3805	55.8	eukaryota_odb12	1628	24.727908309318966	162.69111500114198	Host-associated	Unicellular	Eukaryota	NA	Apicomplexa	NA	Conoidasida	Coccidia	NA	Eucoccidiorida	Eimeriorina	NA	Cryptosporidiidae	NA	Cryptosporidium	n
UP000001450	PLAF7	36329	Plasmodium falciparum	5376	59.7	eukaryota_odb12	1901	31.892521415818827	172.98665285112253	Host-associated	Unicellular	Eukaryota	NA	Apicomplexa	NA	Aconoidasida	NA	NA	Haemosporida	NA	NA	Plasmodiidae	NA	Plasmodium	n
UP000001950	THEAN	5874	Theileria annulata	3790	52.8	eukaryota_odb12	1562	23.27707701599439	143.2123555423936	Host-associated	Multicellular	Eukaryota	NA	Apicomplexa	NA	Aconoidasida	NA	NA	Piroplasmida	NA	NA	Theileriidae	NA	Theileria	n
UP000002173	BABBO	5865	Babesia bovis	3690	59.7	eukaryota_odb12	1585	24.855735233882342	146.59940661710488	Host-associated	Unicellular	Eukaryota	NA	Apicomplexa	NA	Aconoidasida	NA	NA	Piroplasmida	NA	NA	Babesiidae	NA	Babesia	n
UP000007014	CYAM1	280699	Cyanidioschyzon merolae	4995	75	eukaryota_odb12	2551	58.04684357625292	228.80167954716862	Aquatic	Unicellular	Eukaryota	NA	Rhodophyta	NA	Bangiophyceae	NA	NA	Cyanidiales	NA	NA	Cyanidiaceae	NA	Cyanidioschyzon	n
UP000012073	CHOCR	2769	Chondrus crispus	9598	70.7	eukaryota_odb12	2717	56.23075009222361	220.92288128911977	Aquatic	Multicellular	Eukaryota	NA	Rhodophyta	NA	Florideophyceae	Rhodymeniophycidae	NA	Gigartinales	NA	NA	Gigartinaceae	NA	Chondrus	n
UP000008141	CHLVA	554065	Chlorella variabilis	9831	80.6	eukaryota_odb12	3516	69.80543444305758	253.1334350430158	Aquatic	Unicellular	Eukaryota	Viridiplantae	Chlorophyta	NA	Trebouxiophyceae	NA	NA	Chlorellales	NA	NA	Chlorellaceae	NA	Chlorella	n
UP000006906	CHLRE	3055	Chlamydomonas reinhardtii	17614	94.6	eukaryota_odb12	3807	68.41717089180125	267.2342336964571	Aquatic	Multicellular	Eukaryota	Viridiplantae	Chlorophyta	NA	Chlorophyceae	NA	NA	Chlamydomonadales	NA	NA	Chlamydomonadaceae	NA	Chlamydomonas	y
UP000001568	OSTLU	436017	Ostreococcus sp. 'lucimarinus'	7403	76.7	eukaryota_odb12	3092	60.0445476593568	229.819567866761	Aquatic	Multicellular	Eukaryota	Viridiplantae	Chlorophyta	NA	Mamiellophyceae	NA	NA	Mamiellales	NA	NA	Bathycoccaceae	NA	Ostreococcus	n
UP000001876	MICPC	564608	Micromonas pusilla	10246	75	eukaryota_odb12	3375	62.13560403014957	229.85486302178384	Aquatic	Unicellular	Eukaryota	Viridiplantae	Chlorophyta	NA	Mamiellophyceae	NA	NA	Mamiellales	NA	NA	Mamiellaceae	NA	Micromonas	n
UP000001514	SELML	88036	Selaginella moellendorffii	33119	95.3	eukaryota_odb12	4065	76.91590759756915	268.8026057345838	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Lycopodiopsida	NA	NA	Selaginellales	NA	NA	Selaginellaceae	NA	Selaginella	n
UP000006727	PHYPA	3218	Physcomitrium patens	30857	100	eukaryota_odb12	4348	78.44771409778849	269.57643691990415	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Bryopsida	Funariidae	NA	Funariales	NA	NA	Funariaceae	NA	Physcomitrium	n
UP000244005	MARPO	3197	Marchantia polymorpha	19120	100	eukaryota_odb12	4285	0	274.24027989640877	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Marchantiopsida	Marchantiidae	NA	Marchantiales	NA	NA	Marchantiaceae	NA	Marchantia	n
UP000017836	AMBTC	13333	Amborella trichopoda	27366	89.1	eukaryota_odb12	4175	79.72519112715446	260.3636521407338	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Amborellales	NA	NA	Amborellaceae	NA	Amborella	n
UP000036987	ZOSMR	29655	Zostera marina	20358	94.6	eukaryota_odb12	4045	0	256.3445034718773	Aquatic	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Alismatales	NA	NA	Zosteraceae	NA	Zostera	n
UP000012960	MUSAM	214687	Musa acuminata	36474	90.7	eukaryota_odb12	4156	79.96756746266053	271.961770203619	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Petrosaviidae	NA	Zingiberales	NA	NA	Musaceae	NA	Musa	n
UP000007015	ORYSI	39946	Oryza sativa	37344	92.2	eukaryota_odb12	4272	81.32086824295017	259.93092299029087	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Petrosaviidae	NA	Poales	NA	NA	Poaceae	Oryzoideae	Oryza	y
UP000007305	MAIZE	4577	Zea mays	39400	96.1	eukaryota_odb12	4189	80.5495269168452	264.0787700635067	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Petrosaviidae	NA	Poales	NA	NA	Poaceae	Panicoideae	Zea	y
UP000006548	ARATH	3702	Arabidopsis thaliana	27466	100	eukaryota_odb12	4213	80.50558253257903	258.4840863823134	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Brassicales	NA	NA	Brassicaceae	NA	Arabidopsis	y
UP000002051	MEDTR	3880	Medicago truncatula	49955	100	eukaryota_odb12	4343	82.65144321545928	269.9486130724452	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Fabales	NA	NA	Fabaceae	Papilionoideae	Medicago	n
UP000084051	TOBAC	4097	Nicotiana tabacum	61675	99.2	eukaryota_odb12	4309	81.91099674048317	265.20086275592143	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Solanales	NA	NA	Solanaceae	Nicotianoideae	Nicotiana	n
UP000215914	HELAN	4232	Helianthus annuus	51240	96.1	eukaryota_odb12	4232	81.158742914665993	273.042272891334	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Asterales	NA	NA	Asteraceae	Asteroideae	Helianthus	n
UP000077755	DAUCS	79200	Daucus carota	31771	87.6	eukaryota_odb12	4113	78.95447878563633	247.14485185745295	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Apiales	Apiineae	NA	Apiaceae	Apioideae	Daucus	n
UP000009183	VITVI	29760	Vitis vinifera	29874	95.3	eukaryota_odb12	4223	81.99994379387995	262.14912855930106	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Vitales	NA	NA	Vitaceae	NA	Vitis	n
UP000006882	PRUPE	3760	Prunus persica	26847	99.2	eukaryota_odb12	4241	0	260.88284278816957	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Rosales	NA	NA	Rosaceae	Amygdaloideae	Prunus	n
UP000029981	CUCSA	3659	Cucumis sativus	23744	93	eukaryota_odb12	4135	79.31336199770676	253.77155672064896	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Cucurbitales	NA	NA	Cucurbitaceae	NA	Cucumis	n
UP000026915	THECC	3641	Theobroma cacao	29159	99.2	eukaryota_odb12	4214	80.7431846121217	259.9197043674502	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Malvales	NA	NA	Malvaceae	Byttnerioideae	Theobroma	n
UP000006729	POPTR	3694	Populus trichocarpa	42532	100	eukaryota_odb12	4255	82.37476135144934	263.5278331612388	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Malpighiales	NA	NA	Salicaceae	NA	Populus	n
UP000091857	MANES	3983	Manihot esculenta	32935	98.4	eukaryota_odb12	4221	0	258.97873635962895	Terrestrial	Multicellular	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	NA	NA	Malpighiales	NA	NA	Euphorbiaceae	Crotonoideae	Manihot	n
UP000001542	TRIVA	5722	Trichomonas vaginalis	50190	54.9	eukaryota_odb12	2085	36.705531809664016	204.17184853828294	Host-associated	Unicellular	Eukaryota	NA	Parabasalia	NA	NA	NA	NA	Trichomonadida	NA	NA	Trichomonadidae	NA	Trichomonas	n
UP000006671	NAEGR	5762	Naegleria gruberi	15634	81.4	eukaryota_odb12	3133	54.026810036035165	291.7143840682911	Host-associated	Unicellular	Eukaryota	NA	Heterolobosea	NA	NA	NA	NA	NA	NA	NA	Vahlkampfiidae	NA	Naegleria	n
UP000008153	LEIIN	5671	Leishmania infantum	8045	54.3	eukaryota_odb12	2168	45.31452698061511	215.0481119702614	Host-associated	Unicellular	Eukaryota	NA	Euglenozoa	NA	Kinetoplastea	Metakinetoplastina	NA	Trypanosomatida	NA	NA	Trypanosomatidae	Leishmaniinae	Leishmania	n
UP000001926	ENTHI	5759	Entamoeba histolytica	7959	59.7	eukaryota_odb12	1712	30.896829744370716	187.19130827849003	Host-associated	Unicellular	Eukaryota	NA	Evosea	NA	NA	NA	NA	Mastigamoebida	NA	NA	Entamoebidae	NA	Entamoeba	n
UP000002195	DICDI	44689	Dictyostelium discoideum	12739	96.9	eukaryota_odb12	3529	57.341500220760274	334.8999593556028	Terrestrial	Multicellular	Eukaryota	NA	Evosea	NA	Eumycetozoa	NA	NA	Dictyosteliales	NA	NA	Dictyosteliaceae	NA	Dictyostelium	y
UP000001396	POLPP	670386	Heterostelium album	12351	89.1	eukaryota_odb12	3508	0	318.96170819153497	Terrestrial	Multicellular	Eukaryota	NA	Evosea	NA	Eumycetozoa	NA	NA	Acytosteliales	NA	NA	Acytosteliaceae	NA	Heterostelium	n
UP000007797	CAVFA	1054147	Cavenderia fasciculata	12152	89.9	eukaryota_odb12	3473	56.52576733797194	317.0500001354912	Terrestrial	Multicellular	Eukaryota	NA	Evosea	NA	Eumycetozoa	NA	NA	Acytosteliales	NA	NA	Cavenderiaceae	NA	Cavenderia	n
UP000030693	FONAL	691883	Fonticula alba	5901	72.9	eukaryota_odb12	2490	0	261.6976417696294	Terrestrial	Multicellular	Eukaryota	NA	NA	NA	NA	NA	NA	Rotosphaerida	NA	NA	Fonticulaceae	NA	Fonticula	n
UP000007241	BATDJ	684364	Batrachochytrium dendrobatidis	8610	89.1	eukaryota_odb12	3457	0	301.0032996691666	Host-associated	Multicellular	Eukaryota	Fungi	Chytridiomycota	NA	Chytridiomycetes	NA	NA	Rhizophydiales	NA	NA	NA	NA	Batrachochytrium	n
UP000011081	VAVCU	948595	Vavraia culicis	2768	41	eukaryota_odb12	1007	0	136.80605694581683	Host-associated	Unicellular	Eukaryota	Fungi	Microsporidia	NA	NA	NA	NA	NA	Pansporoblastina	NA	Pleistophoridae	NA	Vavraia	n
UP000009082	NOSCE	578460	Nosema ceranae	2060	40	eukaryota_odb12	905	7.686619356308787	131.8471217319531	Host-associated	Unicellular	Eukaryota	Fungi	Microsporidia	NA	NA	NA	NA	NA	Apansporoblastina	NA	Nosematidae	NA	Nosema	n
UP000000819	ENCCU	284813	Encephalitozoon cuniculi	2041	46.2	eukaryota_odb12	1071	10.049200206471333	137.6877481543422	Host-associated	Unicellular	Eukaryota	Fungi	Microsporidia	NA	NA	NA	NA	NA	Apansporoblastina	NA	Unikaryonidae	NA	Encephalitozoon	n
UP000000561	USTMA	237631	Ustilago maydis	6788	98.4	eukaryota_odb12	3444	44.71797332742462	280.37741023485546	Host-associated	Unicellular	Eukaryota	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	NA	NA	Ustilaginales	NA	NA	Ustilaginaceae	NA	Ustilago	n
UP000008837	MALGO	425265	Malassezia globosa	4273	71.3	eukaryota_odb12	2685	32.76713402115034	250.18359781674909	Host-associated	Unicellular	Eukaryota	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziomycetes	NA	NA	Malasseziales	NA	NA	Malasseziaceae	NA	Malassezia	n
UP000008783	PUCGT	418459	Puccinia graminis	15688	94.6	eukaryota_odb12	3179	39.715744807027264	265.6771643906185	Host-associated	Multicellular	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	NA	NA	Pucciniales	NA	NA	Pucciniaceae	NA	Puccinia	n
